GENE-AMI-best
rope: 0
alg1	alg2	P(alg1)	P(rope)	P(alg2)
EAC-SL-Wr	STREHL-CSPA-Wr	0.32644	0.00000	0.67356
EAC-SL-Wr	DICLENS-Wr	0.00650	0.00000	0.99350
EAC-SL-Wr	EAC-SL-Wn	0.95170	0.00000	0.04830
EAC-SL-Wr	STREHL-CSPA-Wn	0.35446	0.00000	0.64554
EAC-SL-Wr	DICLENS-Wn	0.03850	0.00000	0.96150
EAC-SL-Wr	EAC-SL	1.00000	0.00000	0.00000
EAC-SL-Wr	STREHL-CSPA	0.57568	0.00000	0.42432
EAC-SL-Wr	DICLENS	0.93378	0.00000	0.06622
EAC-SL-Wr	STREHL-HGPA	0.54672	0.00000	0.45328
EAC-SL-Wr	JWEAC-SL	1.00000	0.00000	0.00000
EAC-SL-Wr	LCE-CTS-SL	1.00000	0.00000	0.00000
EAC-SL-Wr	STREHL-MCLA	0.66040	0.00000	0.33960
EAC-SL-Wr	PAC-SL	1.00000	0.00000	0.00000
EAC-SL-Wr	WEA-SL	0.99994	0.00000	0.00006
STREHL-CSPA-Wr	DICLENS-Wr	0.35002	0.00000	0.64998
STREHL-CSPA-Wr	EAC-SL-Wn	0.84338	0.00000	0.15662
STREHL-CSPA-Wr	STREHL-CSPA-Wn	0.67400	0.00000	0.32600
STREHL-CSPA-Wr	DICLENS-Wn	0.37212	0.00000	0.62788
STREHL-CSPA-Wr	EAC-SL	0.96886	0.00000	0.03114
STREHL-CSPA-Wr	STREHL-CSPA	1.00000	0.00000	0.00000
STREHL-CSPA-Wr	DICLENS	0.92178	0.00000	0.07822
STREHL-CSPA-Wr	STREHL-HGPA	0.97022	0.00000	0.02978
STREHL-CSPA-Wr	JWEAC-SL	0.96746	0.00000	0.03254
STREHL-CSPA-Wr	LCE-CTS-SL	0.96626	0.00000	0.03374
STREHL-CSPA-Wr	STREHL-MCLA	0.59070	0.00000	0.40930
STREHL-CSPA-Wr	PAC-SL	0.95150	0.00000	0.04850
STREHL-CSPA-Wr	WEA-SL	0.98834	0.00000	0.01166
DICLENS-Wr	EAC-SL-Wn	0.99420	0.00000	0.00580
