-	EAC-SL-Wr	STREHL-CSPA-Wr	DICLENS-Wr	EAC-SL-Wn	STREHL-CSPA-Wn	DICLENS-Wn	EAC-SL	STREHL-CSPA	DICLENS	STREHL-HGPA	JWEAC-SL	LCE-CTS-SL	STREHL-MCLA	PAC-SL	WEA-SL
EAC-SL-Wr	0.00000	0.32644	0.00650	0.95170	0.35446	0.03850	1.00000	0.57568	0.93378	0.54672	1.00000	1.00000	0.66040	1.00000	0.99994	
STREHL-CSPA-Wr	0.67356	0.00000	0.35002	0.84338	0.67400	0.37212	0.96886	1.00000	0.92178	0.97022	0.96746	0.96626	0.59070	0.95150	0.98834	
DICLENS-Wr	0.99350	0.64998	0.00000	0.99420	0.69906	0.71104	1.00000	0.93076	1.00000	0.92356	1.00000	1.00000	0.96932	1.00000	1.00000	
EAC-SL-Wn	0.04830	0.15662	0.00580	0.00000	0.15174	0.00942	1.00000	0.29312	0.60368	0.29750	1.00000	0.99992	0.33960	0.99998	0.99664	
STREHL-CSPA-Wn	0.64554	0.32600	0.30094	0.84826	0.00000	0.30766	0.97502	1.00000	0.90848	0.97770	0.97230	0.96216	0.68804	0.96226	0.98092	
DICLENS-Wn	0.96150	0.62788	0.28896	0.99058	0.69234	0.00000	1.00000	0.92698	1.00000	0.93672	1.00000	1.00000	0.96470	1.00000	1.00000	
EAC-SL	0.00000	0.03114	0.00000	0.00000	0.02498	0.00000	0.00000	0.10690	0.00558	0.04040	0.00282	0.00794	0.03312	0.00008	0.50162	
STREHL-CSPA	0.42432	0.00000	0.06924	0.70688	0.00000	0.07302	0.89310	0.00000	0.78656	0.50964	0.89826	0.88798	0.19720	0.85804	0.90818	
DICLENS	0.06622	0.07822	0.00000	0.39632	0.09152	0.00000	0.99442	0.21344	0.00000	0.16160	0.99182	0.98454	0.11566	0.98230	0.99388	
STREHL-HGPA	0.45328	0.02978	0.07644	0.70250	0.02230	0.06328	0.95960	0.49036	0.83840	0.00000	0.93992	0.93216	0.10588	0.93816	0.96070	
JWEAC-SL	0.00000	0.03254	0.00000	0.00000	0.02770	0.00000	0.99718	0.10174	0.00818	0.06008	0.00000	0.17770	0.03712	0.12654	0.66352	
LCE-CTS-SL	0.00000	0.03374	0.00000	0.00008	0.03784	0.00000	0.99206	0.11202	0.01546	0.06784	0.82230	0.00000	0.03650	0.84386	0.90182	
STREHL-MCLA	0.33960	0.40930	0.03068	0.66040	0.31196	0.03530	0.96688	0.80280	0.88434	0.89412	0.96288	0.96350	0.00000	0.95984	0.99198	
PAC-SL	0.00000	0.04850	0.00000	0.00002	0.03774	0.00000	0.99992	0.14196	0.01770	0.06184	0.87346	0.15614	0.04016	0.00000	0.85294	
WEA-SL	0.00006	0.01166	0.00000	0.00336	0.01908	0.00000	0.49838	0.09182	0.00612	0.03930	0.33648	0.09818	0.00802	0.14706	0.00000	
