-	EAC-SL-Wr	STREHL-CSPA-Wr	DICLENS-Wr	EAC-SL-Wn	STREHL-CSPA-Wn	DICLENS-Wn	EAC-SL	STREHL-CSPA	DICLENS	STREHL-HGPA	JWEAC-SL	LCE-CTS-SL	STREHL-MCLA	PAC-SL	WEA-SL
EAC-SL-Wr	0.00000	0.35722	0.08022	0.95676	0.34586	0.10372	0.96154	0.37058	0.49700	0.31864	0.95108	0.88984	0.21740	0.87616	0.98332	
STREHL-CSPA-Wr	0.64278	0.00000	0.43130	0.86552	0.73466	0.42216	0.90432	0.71024	0.75550	0.65128	0.89230	0.87646	0.23438	0.87026	0.92216	
DICLENS-Wr	0.91978	0.56870	0.00000	0.98030	0.53664	0.76844	0.99804	0.58106	0.96382	0.51692	0.99748	0.99616	0.32362	0.99656	0.99886	
EAC-SL-Wn	0.04324	0.13448	0.01970	0.00000	0.13958	0.02510	0.96680	0.14076	0.10050	0.14456	0.95466	0.67196	0.10886	0.87128	0.85104	
STREHL-CSPA-Wn	0.65414	0.26534	0.46336	0.86042	0.00000	0.43042	0.90836	0.52596	0.78166	0.48616	0.90688	0.88290	0.18548	0.87618	0.91422	
DICLENS-Wn	0.89628	0.57784	0.23156	0.97490	0.56958	0.00000	0.99820	0.58404	0.84178	0.47320	0.99744	0.99490	0.25828	0.99502	0.99894	
EAC-SL	0.03846	0.09568	0.00196	0.03320	0.09164	0.00180	0.00000	0.10572	0.00610	0.04046	0.00280	0.00924	0.03148	0.00006	0.50542	
STREHL-CSPA	0.62942	0.28976	0.41894	0.85924	0.47404	0.41596	0.89428	0.00000	0.78692	0.50558	0.89868	0.88718	0.20114	0.85912	0.91010	
DICLENS	0.50300	0.24450	0.03618	0.89950	0.21834	0.15822	0.99390	0.21308	0.00000	0.16064	0.99178	0.98458	0.11630	0.98302	0.99422	
STREHL-HGPA	0.68136	0.34872	0.48308	0.85544	0.51384	0.52680	0.95954	0.49442	0.83936	0.00000	0.93912	0.93270	0.10456	0.93796	0.96160	
JWEAC-SL	0.04892	0.10770	0.00252	0.04534	0.09312	0.00256	0.99720	0.10132	0.00822	0.06088	0.00000	0.17700	0.03706	0.12808	0.66056	
LCE-CTS-SL	0.11016	0.12354	0.00384	0.32804	0.11710	0.00510	0.99076	0.11282	0.01542	0.06730	0.82300	0.00000	0.03784	0.84050	0.89992	
STREHL-MCLA	0.78260	0.76562	0.67638	0.89114	0.81452	0.74172	0.96852	0.79886	0.88370	0.89544	0.96294	0.96216	0.00000	0.96042	0.99168	
PAC-SL	0.12384	0.12974	0.00344	0.12872	0.12382	0.00498	0.99994	0.14088	0.01698	0.06204	0.87192	0.15950	0.03958	0.00000	0.85352	
WEA-SL	0.01668	0.07784	0.00114	0.14896	0.08578	0.00106	0.49458	0.08990	0.00578	0.03840	0.33944	0.10008	0.00832	0.14648	0.00000	
