-	EAC-SL-Wr	STREHL-CSPA-Wr	DICLENS-Wr	EAC-SL-Wn	STREHL-CSPA-Wn	DICLENS-Wn	EAC-SL	STREHL-CSPA	DICLENS	STREHL-HGPA	JWEAC-SL	LCE-CTS-SL	STREHL-MCLA	PAC-SL	WEA-SL
EAC-SL-Wr	0.00000	0.00000	0.00000	0.88238	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	1.00000	0.99514	0.00000	1.00000	1.00000	
STREHL-CSPA-Wr	1.00000	0.00000	0.99864	1.00000	0.99814	0.99872	1.00000	0.99998	0.99988	0.99278	1.00000	1.00000	0.99630	1.00000	1.00000	
DICLENS-Wr	1.00000	0.00136	0.00000	1.00000	0.00390	0.98534	1.00000	0.00746	1.00000	0.00918	1.00000	1.00000	0.00802	1.00000	1.00000	
EAC-SL-Wn	0.11762	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00002	0.00000	1.00000	0.98884	0.00000	0.99998	1.00000	
STREHL-CSPA-Wn	1.00000	0.00186	0.99610	1.00000	0.00000	0.99742	1.00000	0.99982	0.99998	0.98558	1.00000	1.00000	0.95708	1.00000	1.00000	
DICLENS-Wn	1.00000	0.00128	0.01466	1.00000	0.00258	0.00000	1.00000	0.00630	1.00000	0.00374	1.00000	1.00000	0.00820	1.00000	1.00000	
EAC-SL	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00012	0.00028	0.00000	0.04954	0.56172	
STREHL-CSPA	1.00000	0.00002	0.99254	1.00000	0.00018	0.99370	1.00000	0.00000	0.99986	0.96624	1.00000	1.00000	0.86434	1.00000	1.00000	
DICLENS	1.00000	0.00012	0.00000	0.99998	0.00002	0.00000	1.00000	0.00014	0.00000	0.00014	1.00000	0.99988	0.00134	1.00000	1.00000	
STREHL-HGPA	1.00000	0.00722	0.99082	1.00000	0.01442	0.99626	1.00000	0.03376	0.99986	0.00000	1.00000	1.00000	0.08206	1.00000	1.00000	
JWEAC-SL	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.99988	0.00000	0.00000	0.00000	0.00000	0.14990	0.00000	0.86436	0.96414	
LCE-CTS-SL	0.00486	0.00000	0.00000	0.01116	0.00000	0.00000	0.99972	0.00000	0.00012	0.00000	0.85010	0.00000	0.00000	0.94726	0.99946	
STREHL-MCLA	1.00000	0.00370	0.99198	1.00000	0.04292	0.99180	1.00000	0.13566	0.99866	0.91794	1.00000	1.00000	0.00000	1.00000	1.00000	
PAC-SL	0.00000	0.00000	0.00000	0.00002	0.00000	0.00000	0.95046	0.00000	0.00000	0.00000	0.13564	0.05274	0.00000	0.00000	0.98270	
WEA-SL	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.43828	0.00000	0.00000	0.00000	0.03586	0.00054	0.00000	0.01730	0.00000	
