REAL-AMI-crossValid
rope: 0
alg1	alg2	P(alg1)	P(rope)	P(alg2)
EAC-SL-Wr	STREHL-CSPA-Wr	0.00000	0.00000	1.00000
EAC-SL-Wr	DICLENS-Wr	0.00000	0.00000	1.00000
EAC-SL-Wr	EAC-SL-Wn	0.72090	0.00000	0.27910
EAC-SL-Wr	STREHL-CSPA-Wn	0.00000	0.00000	1.00000
EAC-SL-Wr	DICLENS-Wn	0.00000	0.00000	1.00000
EAC-SL-Wr	EAC-SL	0.99816	0.00000	0.00184
EAC-SL-Wr	STREHL-CSPA	0.00000	0.00000	1.00000
EAC-SL-Wr	DICLENS	0.00000	0.00000	1.00000
EAC-SL-Wr	STREHL-HGPA	0.00000	0.00000	1.00000
EAC-SL-Wr	JWEAC-SL	0.76600	0.00000	0.23400
EAC-SL-Wr	LCE-CTS-SL	0.85944	0.00000	0.14056
EAC-SL-Wr	STREHL-MCLA	0.00000	0.00000	1.00000
EAC-SL-Wr	PAC-SL	0.88036	0.00000	0.11964
EAC-SL-Wr	WEA-SL	0.95218	0.00000	0.04782
STREHL-CSPA-Wr	DICLENS-Wr	0.99864	0.00000	0.00136
STREHL-CSPA-Wr	EAC-SL-Wn	1.00000	0.00000	0.00000
STREHL-CSPA-Wr	STREHL-CSPA-Wn	0.68708	0.00000	0.31292
STREHL-CSPA-Wr	DICLENS-Wn	0.99872	0.00000	0.00128
STREHL-CSPA-Wr	EAC-SL	1.00000	0.00000	0.00000
STREHL-CSPA-Wr	STREHL-CSPA	0.88964	0.00000	0.11036
STREHL-CSPA-Wr	DICLENS	0.99996	0.00000	0.00004
STREHL-CSPA-Wr	STREHL-HGPA	0.97420	0.00000	0.02580
STREHL-CSPA-Wr	JWEAC-SL	1.00000	0.00000	0.00000
STREHL-CSPA-Wr	LCE-CTS-SL	1.00000	0.00000	0.00000
STREHL-CSPA-Wr	STREHL-MCLA	0.91238	0.00000	0.08762
STREHL-CSPA-Wr	PAC-SL	1.00000	0.00000	0.00000
STREHL-CSPA-Wr	WEA-SL	1.00000	0.00000	0.00000
DICLENS-Wr	EAC-SL-Wn	1.00000	0.00000	0.00000
DICLENS-Wr	STREHL-CSPA-Wn	0.00202	0.00000	0.99798
DICLENS-Wr	DICLENS-Wn	0.73300	0.00000	0.26700
DICLENS-Wr	EAC-SL	1.00000	0.00000	0.00000
DICLENS-Wr	STREHL-CSPA	0.00180	0.00000	0.99820
DICLENS-Wr	DICLENS	0.99938	0.00000	0.00062
DICLENS-Wr	STREHL-HGPA	0.00142	0.00000	0.99858
DICLENS-Wr	JWEAC-SL	1.00000	0.00000	0.00000
DICLENS-Wr	LCE-CTS-SL	0.99994	0.00000	0.00006
DICLENS-Wr	STREHL-MCLA	0.00546	0.00000	0.99454
DICLENS-Wr	PAC-SL	1.00000	0.00000	0.00000
