-	EAC-SL-Wr	STREHL-CSPA-Wr	DICLENS-Wr	EAC-SL-Wn	STREHL-CSPA-Wn	DICLENS-Wn	EAC-SL	STREHL-CSPA	DICLENS	STREHL-HGPA	JWEAC-SL	LCE-CTS-SL	STREHL-MCLA	PAC-SL	WEA-SL
EAC-SL-Wr	0.00000	0.00000	0.00000	0.72090	0.00000	0.00000	0.99816	0.00000	0.00000	0.00000	0.76600	0.85944	0.00000	0.88036	0.95218	
STREHL-CSPA-Wr	1.00000	0.00000	0.99864	1.00000	0.68708	0.99872	1.00000	0.88964	0.99996	0.97420	1.00000	1.00000	0.91238	1.00000	1.00000	
DICLENS-Wr	1.00000	0.00136	0.00000	1.00000	0.00202	0.73300	1.00000	0.00180	0.99938	0.00142	1.00000	0.99994	0.00546	1.00000	1.00000	
EAC-SL-Wn	0.27910	0.00000	0.00000	0.00000	0.00000	0.00000	0.99482	0.00000	0.00000	0.00000	0.84772	0.83856	0.00000	0.91250	0.95148	
STREHL-CSPA-Wn	1.00000	0.31292	0.99798	1.00000	0.00000	0.99882	1.00000	0.92152	0.99996	0.97612	1.00000	1.00000	0.90766	1.00000	1.00000	
DICLENS-Wn	1.00000	0.00128	0.26700	1.00000	0.00118	0.00000	1.00000	0.00122	0.99710	0.00194	1.00000	0.99988	0.00492	1.00000	1.00000	
EAC-SL	0.00184	0.00000	0.00000	0.00518	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00018	0.00000	0.04942	0.56576	
STREHL-CSPA	1.00000	0.11036	0.99820	1.00000	0.07848	0.99878	1.00000	0.00000	0.99988	0.96494	1.00000	1.00000	0.86644	1.00000	1.00000	
DICLENS	1.00000	0.00004	0.00062	1.00000	0.00004	0.00290	1.00000	0.00012	0.00000	0.00020	1.00000	0.99990	0.00116	1.00000	1.00000	
STREHL-HGPA	1.00000	0.02580	0.99858	1.00000	0.02388	0.99806	1.00000	0.03506	0.99980	0.00000	1.00000	1.00000	0.08104	1.00000	1.00000	
JWEAC-SL	0.23400	0.00000	0.00000	0.15228	0.00000	0.00000	0.99980	0.00000	0.00000	0.00000	0.00000	0.15176	0.00000	0.86320	0.96440	
LCE-CTS-SL	0.14056	0.00000	0.00006	0.16144	0.00000	0.00012	0.99982	0.00000	0.00010	0.00000	0.84824	0.00000	0.00000	0.94842	0.99930	
STREHL-MCLA	1.00000	0.08762	0.99454	1.00000	0.09234	0.99508	1.00000	0.13356	0.99884	0.91896	1.00000	1.00000	0.00000	1.00000	1.00000	
PAC-SL	0.11964	0.00000	0.00000	0.08750	0.00000	0.00000	0.95058	0.00000	0.00000	0.00000	0.13680	0.05158	0.00000	0.00000	0.98272	
WEA-SL	0.04782	0.00000	0.00000	0.04852	0.00000	0.00000	0.43424	0.00000	0.00000	0.00000	0.03560	0.00070	0.00000	0.01728	0.00000	
